		X                 	 Y 		              Z
-3.510003931472636E-03 -5.526058544513498E-03 1.400146485182788E-04
-3.502675499074798E-03 -5.526486561427311E-03 1.398769410617344E-04
-3.495349087033993E-03 -5.526904032096352E-03 1.397392532184101E-04
-3.488024699525236E-03 -5.527310975028541E-03 1.396015840814450E-04
-3.480702339691235E-03 -5.527707406849209E-03 1.394639328298868E-04
-3.473382009814610E-03 -5.528093342066876E-03 1.393262987619066E-04
-3.466063711540562E-03 -5.528468792836531E-03 1.391886813328336E-04
-3.458747446158084E-03 -5.528833768728620E-03 1.390510801980899E-04
-3.451433214947505E-03 -5.529188276515166E-03 1.389134952607879E-04
-3.444121019600963E-03 -5.529532319987957E-03 1.387759267234072E-04
-3.436810862719990E-03 -5.529865899827707E-03 1.386383751423637E-04
-3.429502748390431E-03 -5.530189013547168E-03 1.385008414836352E-04
-3.422196682829228E-03 -5.530501655535525E-03 1.383633271766955E-04
-3.414892675089165E-03 -5.530803817232358E-03 1.382258341631879E-04
-3.407590737797029E-03 -5.531095487471030E-03 1.380883649348184E-04
-3.400290887886644E-03 -5.531376652986166E-03 1.379509225573737E-04
-3.392993147283200E-03 -5.531647299152541E-03 1.378135106713765E-04
-3.385697543469373E-03 -5.531907410918825E-03 1.376761334659779E-04
-3.378404109870686E-03 -5.532156973929139E-03 1.375387956209393E-04
-3.371112885992034E-03 -5.532395975801538E-03 1.374015022129773E-04
-3.363823917244857E-03 -5.532624407492486E-03 1.372642585867280E-04
-3.356537254427459E-03 -5.532842264651399E-03 1.371270701947196E-04
-3.349252952854045E-03 -5.533049548858123E-03 1.369899424147160E-04
-3.341971071165733E-03 -5.533246268638221E-03 1.368528803560680E-04
-3.334691669893793E-03 -5.533432440165005E-03 1.367158886689609E-04
-3.327414809876248E-03 -5.533608087582442E-03 1.365789713712191E-04
-3.320140550648362E-03 -5.533773242918667E-03 1.364421317061938E-04
-3.312868948930009E-03 -5.533927945604734E-03 1.363053720418300E-04
-3.305600057313229E-03 -5.534072241666497E-03 1.361686938148268E-04
-3.298333923217267E-03 -5.534206182685537E-03 1.360320975182429E-04
-3.291070588160723E-03 -5.534329824585891E-03 1.358955827324447E-04
-3.283810087349369E-03 -5.534443226395499E-03 1.357591481871115E-04
-3.276552449551214E-03 -5.534546449034147E-03 1.356227918474471E-04
-3.269297697219659E-03 -5.534639554203087E-03 1.354865110148773E-04
-3.262045846807693E-03 -5.534722603417619E-03 1.353503024336085E-04
-3.254796909214919E-03 -5.534795657203722E-03 1.352141623960091E-04
-3.247550890315896E-03 -5.534858774462128E-03 1.350780868417891E-04
-3.240307791526481E-03 -5.534912011990859E-03 1.349420714477537E-04
-3.233067610373701E-03 -5.534955424149410E-03 1.348061117063438E-04
-3.225830341043795E-03 -5.534989062643633E-03 1.346702029923439E-04
-3.218595974891613E-03 -5.535012976409167E-03 1.345343406180297E-04
-3.211364500902168E-03 -5.535027211572270E-03 1.343985198776459E-04
-3.204135906100931E-03 -5.535031811469165E-03 1.342627360824326E-04
-3.196910175913051E-03 -5.535026816707951E-03 1.341269845875362E-04
-3.189687294472357E-03 -5.535012265259731E-03 1.339912608119621E-04
-3.182467244882676E-03 -5.534988192567962E-03 1.338555602527059E-04
-3.175250009441900E-03 -5.534954631668535E-03 1.337198784946315E-04
-3.168035569826319E-03 -5.534911613313918E-03 1.335842112164160E-04
-3.160823907245009E-03 -5.534859166097187E-03 1.334485541937913E-04
-3.153615002566953E-03 -5.534797316572725E-03 1.333129033006050E-04
